iter	Passed	Remaining
0	138	138290
1	140	70039
2	142	47312
3	144	35939
4	145	29040
5	147	24511
6	150	21362
7	152	18888
8	153	16951
9	156	15469
10	157	14148
11	158	13052
12	160	12173
13	162	11429
14	164	10815
15	167	10279
16	170	9832
17	171	9334
18	172	8895
19	174	8565
20	175	8201
21	177	7912
22	180	7661
23	181	7381
24	182	7135
25	183	6885
26	184	6663
27	187	6497
28	188	6301
29	189	6135
30	192	6015
31	194	5884
32	196	5744
33	197	5603
34	198	5482
35	200	5366
36	201	5251
37	202	5136
38	204	5051
39	206	4958
40	207	4860
41	208	4764
42	210	4682
43	211	4597
44	212	4514
45	213	4430
46	214	4349
47	215	4271
48	216	4200
49	217	4129
50	218	4071
51	219	4002
52	220	3935
53	220	3870
54	221	3806
55	222	3749
56	223	3696
57	224	3642
58	224	3588
59	225	3535
60	226	3484
61	227	3435
62	227	3388
63	228	3346
64	229	3303
65	230	3259
66	230	3215
67	231	3172
68	232	3133
69	232	3093
70	233	3054
71	234	3016
72	234	2983
73	236	2953
74	236	2922
75	237	2888
76	238	2856
77	238	2824
78	239	2793
79	240	2763
80	240	2733
81	242	2710
82	242	2683
83	243	2655
84	243	2625
85	244	2599
86	245	2572
87	245	2548
88	246	2523
89	247	2502
90	248	2480
91	249	2458
92	249	2435
93	250	2414
94	251	2392
95	251	2370
96	252	2348
97	252	2327
98	253	2308
99	254	2291
100	255	2273
101	255	2252
102	256	2233
103	257	2215
104	257	2197
105	258	2180
106	259	2163
107	260	2147
108	261	2134
109	261	2118
110	262	2103
111	263	2089
112	264	2073
113	264	2058
114	265	2042
115	266	2028
116	267	2016
117	268	2003
118	268	1990
119	269	1976
120	270	1962
121	270	1949
122	271	1933
123	271	1920
124	273	1912
125	274	1902
126	275	1890
127	275	1876
128	276	1865
129	277	1854
130	277	1843
131	278	1833
132	279	1824
133	280	1814
134	281	1803
135	282	1793
136	283	1783
137	283	1772
138	284	1765
139	285	1756
140	286	1748
141	287	1738
142	288	1729
143	289	1719
144	290	1710
145	291	1703
146	292	1696
147	293	1687
148	294	1679
149	294	1670
150	295	1661
151	296	1653
152	297	1645
153	298	1639
154	299	1632
155	300	1624
156	301	1616
157	301	1608
158	302	1600
159	303	1593
160	304	1588
161	305	1581
162	306	1574
163	307	1566
164	308	1560
165	310	1557
166	311	1551
167	311	1545
168	312	1538
169	313	1531
170	314	1525
171	315	1520
172	316	1514
173	318	1510
174	319	1504
175	320	1498
176	321	1492
177	322	1487
178	323	1482
179	324	1476
180	324	1468
181	325	1462
182	326	1456
183	327	1451
184	328	1447
185	329	1442
186	330	1436
187	331	1430
188	331	1424
189	332	1418
190	333	1413
191	334	1409
192	335	1404
193	336	1399
194	337	1393
195	338	1387
196	339	1382
197	340	1377
198	341	1373
199	342	1368
200	343	1363
201	343	1358
202	344	1352
203	345	1348
204	346	1345
205	347	1340
206	348	1335
207	349	1330
208	350	1324
209	350	1319
210	351	1314
211	352	1310
212	353	1306
213	354	1301
214	355	1297
215	356	1292
216	356	1287
217	357	1282
218	358	1278
219	359	1274
220	360	1269
221	360	1264
222	361	1259
223	362	1255
224	362	1250
225	363	1245
226	364	1241
227	365	1237
228	366	1232
229	366	1228
230	367	1223
231	368	1220
232	369	1215
233	370	1212
234	371	1208
235	372	1204
236	372	1200
237	373	1195
238	374	1191
239	374	1186
240	375	1182
241	376	1178
242	376	1173
243	377	1169
244	378	1165
245	378	1161
246	379	1157
247	380	1153
248	381	1149
249	381	1145
250	382	1141
251	383	1137
252	384	1134
253	384	1130
254	385	1126
255	386	1122
256	387	1118
257	387	1114
258	388	1111
259	389	1107
260	389	1103
261	390	1100
262	391	1097
263	392	1093
264	392	1089
265	393	1086
266	394	1083
267	395	1079
268	396	1076
269	397	1073
270	397	1069
271	398	1066
272	399	1063
273	399	1059
274	400	1055
275	401	1052
276	402	1049
277	402	1046
278	403	1042
279	404	1039
280	404	1035
281	405	1032
282	406	1028
283	406	1025
284	407	1021
285	408	1018
286	408	1015
287	409	1012
288	410	1009
289	410	1005
290	411	1002
291	412	999
292	413	996
293	413	993
294	414	990
295	415	987
296	415	984
297	416	981
298	417	977
299	417	974
300	418	971
301	419	968
302	419	965
303	420	962
304	420	959
305	421	956
306	422	953
307	423	950
308	423	947
309	424	944
310	425	941
311	425	939
312	426	936
313	427	933
314	427	930
315	428	927
316	429	924
317	429	921
318	430	919
319	431	916
320	431	913
321	432	910
322	433	908
323	434	905
324	434	903
325	435	900
326	436	897
327	436	894
328	437	892
329	438	889
330	438	886
331	439	884
332	440	881
333	441	879
334	441	876
335	442	874
336	443	871
337	443	869
338	444	866
339	445	863
340	445	861
341	446	858
342	447	856
343	447	854
344	448	851
345	449	848
346	449	846
347	450	844
348	451	841
349	451	839
350	452	836
351	453	834
352	454	832
353	454	829
354	455	827
355	455	824
356	456	822
357	457	819
358	457	817
359	458	814
360	459	812
361	459	810
362	460	808
363	461	805
364	461	803
365	462	801
366	463	798
367	463	796
368	464	794
369	465	791
370	465	789
371	466	787
372	467	785
373	467	783
374	468	781
375	469	778
376	470	776
377	470	774
378	471	772
379	472	770
380	472	768
381	473	766
382	474	764
383	475	762
384	476	760
385	476	758
386	477	756
387	478	754
388	479	752
389	479	750
390	480	748
391	481	746
392	481	744
393	482	742
394	483	740
395	484	738
396	484	736
397	485	734
398	486	732
399	487	730
400	487	728
