iter	Passed	Remaining
428	2230	2969
429	2233	2961
430	2239	2956
431	2242	2948
432	2245	2940
433	2248	2932
434	2252	2925
435	2255	2917
436	2259	2910
437	2265	2906
438	2270	2901
439	2274	2894
440	2277	2887
441	2280	2879
442	2283	2871
443	2287	2864
444	2291	2858
445	2296	2852
446	2301	2846
447	2305	2840
448	2309	2834
449	2314	2828
450	2317	2821
451	2320	2813
452	2324	2806
453	2327	2799
454	2330	2791
455	2334	2784
456	2337	2777
457	2340	2769
458	2343	2761
459	2346	2754
460	2349	2746
461	2352	2739
462	2355	2732
463	2358	2724
464	2362	2718
465	2365	2710
466	2369	2703
467	2372	2696
468	2375	2689
469	2378	2682
470	2381	2675
471	2385	2668
472	2388	2661
473	2392	2654
474	2396	2648
475	2399	2641
476	2402	2634
477	2405	2626
478	2408	2620
479	2411	2612
480	2414	2605
481	2417	2597
482	2420	2590
483	2423	2583
484	2427	2577
485	2430	2570
486	2433	2563
487	2437	2557
488	2441	2551
489	2444	2544
490	2448	2538
491	2452	2532
492	2455	2524
493	2458	2517
494	2461	2511
495	2464	2504
496	2468	2498
497	2472	2491
498	2475	2485
499	2479	2479
500	2482	2472
501	2485	2465
502	2488	2458
503	2491	2451
504	2494	2444
505	2497	2437
506	2500	2431
507	2503	2424
508	2506	2418
509	2510	2412
510	2515	2406
511	2518	2400
512	2522	2394
513	2525	2388
514	2528	2381
515	2531	2374
516	2535	2368
517	2538	2361
518	2541	2355
519	2544	2348
520	2548	2343
521	2551	2336
522	2555	2330
523	2558	2324
524	2562	2318
525	2566	2312
526	2569	2306
527	2573	2300
528	2576	2293
529	2579	2287
530	2582	2281
531	2586	2275
532	2588	2268
533	2592	2262
534	2594	2255
535	2598	2249
536	2601	2243
537	2605	2237
538	2607	2230
539	2610	2223
540	2613	2217
541	2616	2210
542	2619	2204
543	2622	2198
544	2625	2191
545	2627	2185
546	2632	2179
547	2636	2174
548	2639	2168
549	2642	2161
550	2645	2156
551	2651	2151
552	2655	2146
553	2658	2140
554	2666	2138
555	2671	2132
556	2677	2129
557	2680	2123
558	2684	2117
559	2687	2111
560	2690	2105
561	2694	2100
562	2697	2093
563	2700	2087
564	2705	2082
565	2708	2077
566	2712	2071
567	2715	2065
568	2719	2060
569	2722	2054
570	2726	2048
571	2729	2042
572	2734	2037
573	2738	2032
574	2742	2026
575	2748	2023
576	2752	2017
577	2756	2012
578	2763	2009
579	2768	2005
580	2775	2001
581	2779	1996
582	2783	1991
583	2789	1986
584	2794	1982
585	2801	1978
586	2807	1975
587	2812	1970
588	2817	1965
589	2820	1960
590	2825	1955
591	2830	1950
592	2834	1945
593	2841	1941
594	2845	1937
595	2853	1934
596	2858	1929
597	2862	1924
598	2865	1918
599	2873	1915
600	2878	1911
601	2892	1912
602	2903	1911
603	2913	1910
604	2919	1905
605	2929	1904
606	2962	1918
607	2990	1928
608	3004	1928
609	3018	1930
610	3030	1929
611	3037	1925
612	3047	1924
613	3053	1919
614	3073	1923
615	3081	1921
616	3090	1918
617	3095	1913
618	3103	1909
619	3107	1904
620	3111	1899
621	3116	1893
622	3120	1888
623	3123	1882
624	3127	1876
625	3134	1872
626	3140	1868
627	3146	1863
628	3150	1858
629	3154	1852
630	3159	1847
631	3162	1841
632	3166	1835
633	3169	1829
634	3173	1823
635	3176	1818
636	3179	1811
637	3182	1805
638	3185	1799
639	3188	1793
640	3192	1787
641	3195	1782
642	3199	1776
643	3202	1770
644	3204	1763
645	3208	1757
646	3211	1752
647	3215	1746
648	3219	1741
649	3223	1735
650	3226	1729
651	3230	1724
652	3233	1718
653	3237	1712
654	3239	1706
655	3243	1700
656	3248	1695
657	3254	1691
658	3257	1685
659	3262	1680
660	3267	1675
661	3271	1670
662	3275	1664
663	3279	1659
664	3282	1653
665	3286	1648
666	3291	1643
667	3294	1637
668	3298	1631
669	3302	1626
670	3306	1621
671	3310	1615
672	3314	1610
673	3318	1605
674	3322	1599
675	3326	1594
676	3331	1589
677	3334	1583
678	3338	1578
679	3342	1572
680	3345	1567
681	3348	1561
682	3352	1555
683	3355	1550
684	3358	1544
685	3361	1538
686	3364	1533
687	3368	1527
688	3371	1521
689	3375	1516
690	3378	1510
691	3381	1505
692	3384	1499
693	3388	1494
694	3391	1488
695	3395	1482
696	3398	1477
697	3401	1471
698	3404	1466
699	3408	1460
700	3411	1455
701	3415	1449
702	3419	1444
703	3422	1438
704	3426	1433
705	3429	1428
706	3432	1422
707	3436	1417
708	3439	1411
709	3442	1406
710	3445	1400
711	3451	1396
712	3455	1390
713	3458	1385
714	3462	1380
715	3465	1374
716	3469	1369
717	3473	1364
718	3477	1359
719	3481	1353
720	3484	1348
721	3492	1344
722	3495	1339
723	3498	1333
724	3501	1328
725	3505	1322
726	3509	1317
727	3512	1312
728	3515	1307
729	3520	1302
730	3524	1296
731	3527	1291
732	3531	1286
733	3534	1280
734	3538	1275
735	3541	1270
736	3544	1264
737	3548	1259
738	3551	1254
739	3555	1249
740	3559	1244
741	3563	1238
742	3566	1233
743	3569	1228
744	3572	1222
745	3576	1217
746	3579	1212
747	3582	1207
748	3586	1201
749	3589	1196
750	3594	1191
751	3597	1186
752	3600	1181
753	3604	1175
754	3606	1170
755	3609	1164
756	3612	1159
757	3616	1154
758	3620	1149
759	3623	1144
760	3626	1139
761	3631	1134
762	3634	1129
763	3637	1123
764	3641	1118
765	3644	1113
766	3648	1108
767	3651	1103
768	3655	1097
769	3657	1092
770	3661	1087
771	3664	1082
772	3669	1077
773	3673	1072
774	3677	1067
775	3681	1062
776	3687	1058
777	3692	1053
778	3697	1048
779	3700	1043
780	3704	1038
781	3708	1033
782	3712	1028
783	3716	1023
784	3720	1018
785	3723	1013
786	3727	1008
787	3730	1003
788	3734	998
789	3737	993
790	3740	988
791	3744	983
792	3747	978
793	3750	972
794	3753	967
795	3756	962
796	3759	957
797	3762	952
798	3766	947
799	3769	942
800	3772	937
801	3775	932
802	3778	927
803	3782	922
804	3786	917
805	3789	912
806	3793	907
807	3796	902
808	3799	897
809	3895	913
810	3901	909
811	3931	910
812	3937	905
813	3943	901
814	3949	896
815	3963	893
816	3967	888
817	3975	884
818	3979	879
819	3982	874
820	4001	872
821	4006	867
822	4010	862
823	4014	857
824	4019	852
825	4022	847
826	4026	842
827	4032	837
828	4038	833
829	4043	828
830	4048	823
831	4052	818
832	4057	813
833	4060	808
834	4064	803
835	4069	798
836	4073	793
837	4077	788
838	4081	783
839	4086	778
840	4091	773
841	4095	768
842	4102	763
843	4107	759
844	4118	755
845	4125	750
846	4134	746
847	4141	742
848	4145	737
849	4150	732
850	4155	727
851	4161	722
852	4166	718
853	4174	713
854	4181	709
855	4186	704
856	4193	699
857	4200	695
858	4206	690
859	4214	686
860	4228	682
861	4234	677
862	4246	674
863	4251	669
864	4265	665
865	4270	660
866	4277	656
867	4283	651
868	4290	646
869	4300	642
870	4307	637
871	4319	634
872	4323	629
873	4328	623
874	4336	619
875	4342	614
876	4346	609
877	4350	604
878	4353	599
879	4357	594
880	4364	589
881	4368	584
882	4372	579
883	4376	574
884	4379	569
885	4382	563
886	4386	558
887	4390	553
888	4393	548
889	4399	543
890	4406	539
891	4414	534
892	4419	529
893	4423	524
894	4426	519
895	4430	514
896	4435	509
897	4439	504
898	4442	499
899	4482	498
900	4487	493
901	4514	490
902	4544	488
903	4547	482
904	4549	477
905	4551	472
906	4566	468
907	4569	463
908	4571	457
909	4577	452
910	4602	449
911	4607	444
912	4620	440
913	4634	436
914	4661	433
915	4668	428
916	4746	429
917	4760	425
918	4777	421
919	4801	417
920	4813	412
921	4817	407
922	4824	402
923	4838	397
924	4848	393
925	4884	390
926	4895	385
927	4912	381
928	4925	376
929	4946	372
930	4952	367
931	4968	362
932	4986	358
933	5007	353
934	5018	348
935	5027	343
936	5039	338
937	5065	334
938	5075	329
939	5094	325
940	5103	320
941	5105	314
942	5108	308
943	5111	303
944	5122	298
945	5124	292
946	5129	287
947	5133	281
948	5171	277
949	5189	273
950	5214	268
951	5229	263
952	5275	260
953	5297	255
954	5359	252
955	5413	249
956	5656	254
957	5806	254
958	5829	249
959	5841	243
960	5852	237
961	5884	232
962	5987	230
963	6013	224
964	6068	220
965	6075	213
966	6103	208
967	6110	202
968	6126	195
969	6137	189
970	6175	184
971	6194	178
972	6205	172
973	6214	165
974	6223	159
975	6242	153
976	6251	147
977	6269	141
978	6277	134
979	6283	128
980	6286	121
981	6289	115
982	6298	108
983	6304	102
984	6318	96
985	6325	89
986	6330	83
987	6337	76
988	6356	70
989	6372	64
990	6380	57
991	6388	51
992	6396	45
993	6402	38
994	6410	32
995	6416	25
996	6431	19
997	6439	12
998	6446	6
999	6456	0
